risk_factor,intervention,level,sex,age,value
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,0,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,1,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,2,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,3,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,4,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,5,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,6,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,7,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,8,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,9,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,10,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,11,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,12,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,13,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,14,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,15,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,16,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,17,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,18,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,19,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,20,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,21,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,22,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,23,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,24,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,25,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,26,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,27,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,28,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,29,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,30,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,31,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,32,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,33,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,34,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,35,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,36,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,37,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,38,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,39,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,40,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,41,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,42,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,43,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,44,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,45,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,46,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,47,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,48,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,49,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,50,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,51,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,52,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,53,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,54,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,55,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,56,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,57,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,58,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,59,0.15
NC_RFInactivity,NC_RFPhysicalActivityAdvice,1,male,60,0.15
