disease,risk_factor,region,sex,age,value
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Male,15 to 19,1.00000000246262
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Male,20 to 24,1.00000000246262
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Male,25 to 29,1.00000000246262
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Male,30 to 39,1.00000002259408
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Male,40 to 49,1.00000004556017
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Male,50 to 59,1.00000004556017
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Male,60 to 69,1.00000002478551
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Male,70 to 79,0.999999998057172
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Male,80 to 100,0.999999998057172
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Female,15 to 19,1.21675461442424
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Female,20 to 24,1.21675461442424
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Female,25 to 29,1.21675461442424
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Female,30 to 39,1.20870460700676
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Female,40 to 49,1.19960192767516
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Female,50 to 59,1.19960192767516
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Female,60 to 69,1.17423591125047
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Female,70 to 79,1.14251511776878
Ischemic Heart Disease,Hazardous and harmful alcohol use,Andean Latin America,Female,80 to 100,1.14251511776878
Ischemic Heart Disease,Physical Inactivity,Andean Latin America,Male,30 to 39,1.66
Ischemic Heart Disease,Physical Inactivity,Andean Latin America,Male,40 to 49,1.66
Ischemic Heart Disease,Physical Inactivity,Andean Latin America,Male,50 to 59,1.66
Ischemic Heart Disease,Physical Inactivity,Andean Latin America,Male,60 to 69,1.66
Ischemic Heart Disease,Physical Inactivity,Andean Latin America,Male,70 to 79,1.51
Ischemic Heart Disease,Physical Inactivity,Andean Latin America,Male,80 to 100,1.51
Ischemic Heart Disease,Physical Inactivity,Andean Latin America,Female,30 to 39,1.66
Ischemic Heart Disease,Physical Inactivity,Andean Latin America,Female,40 to 49,1.66
Ischemic Heart Disease,Physical Inactivity,Andean Latin America,Female,50 to 59,1.66
Ischemic Heart Disease,Physical Inactivity,Andean Latin America,Female,60 to 69,1.66
Ischemic Heart Disease,Physical Inactivity,Andean Latin America,Female,70 to 79,1.51
Ischemic Heart Disease,Physical Inactivity,Andean Latin America,Female,80 to 100,1.51
Ischemic Heart Disease,Tobacco,Andean Latin America,Male,30 to 39,5.51
Ischemic Heart Disease,Tobacco,Andean Latin America,Male,40 to 49,5.51
Ischemic Heart Disease,Tobacco,Andean Latin America,Male,50 to 59,3.04
Ischemic Heart Disease,Tobacco,Andean Latin America,Male,60 to 69,1.88
Ischemic Heart Disease,Tobacco,Andean Latin America,Male,70 to 79,1.44
Ischemic Heart Disease,Tobacco,Andean Latin America,Male,80 to 100,1.44
Ischemic Heart Disease,Tobacco,Andean Latin America,Female,30 to 39,2.26
Ischemic Heart Disease,Tobacco,Andean Latin America,Female,40 to 49,2.26
Ischemic Heart Disease,Tobacco,Andean Latin America,Female,50 to 59,3.78
Ischemic Heart Disease,Tobacco,Andean Latin America,Female,60 to 69,2.53
Ischemic Heart Disease,Tobacco,Andean Latin America,Female,70 to 79,1.68
