disease,risk_factor,region,sex,age,value
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Male,30 to 39,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Male,40 to 49,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Male,50 to 59,1.09
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Male,60 to 69,1.08
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Male,70 to 79,1.05
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Male,80 to 100,1.05
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Female,30 to 39,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Female,40 to 49,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Female,50 to 59,1.09
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Female,60 to 69,1.08
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Female,70 to 79,1.05
Ischemic Heart Disease,Mean BMI (kg/m2),Andean Latin America,Female,80 to 100,1.05
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Male,30 to 39,1.14
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Male,40 to 49,1.14
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Male,50 to 59,1.1
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Male,60 to 69,1.08
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Male,70 to 79,1.05
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Male,80 to 100,1.05
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Female,30 to 39,1.14
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Female,40 to 49,1.14
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Female,50 to 59,1.1
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Female,60 to 69,1.08
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Female,70 to 79,1.05
Ischemic Stroke,Mean BMI (kg/m2),Andean Latin America,Female,80 to 100,1.05
Breast Cancer,Mean BMI (kg/m2),Andean Latin America,Female,40 to 49,1.02
Breast Cancer,Mean BMI (kg/m2),Andean Latin America,Female,50 to 59,1.02
Breast Cancer,Mean BMI (kg/m2),Andean Latin America,Female,60 to 69,1.02
Breast Cancer,Mean BMI (kg/m2),Andean Latin America,Female,70 to 79,1.02
Breast Cancer,Mean BMI (kg/m2),Andean Latin America,Female,80 to 100,1.02
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,15 to 19,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,20 to 24,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,25 to 29,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,30 to 39,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,40 to 49,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,50 to 59,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,60 to 69,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,70 to 79,1.1
Cervical Cancer,Mean BMI (kg/m2),Andean Latin America,Female,80 to 100,1.1
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Male,30 to 39,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Male,40 to 49,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Male,50 to 59,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Male,60 to 69,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Male,70 to 79,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Male,80 to 100,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Female,30 to 39,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Female,40 to 49,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Female,50 to 59,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Female,60 to 69,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Female,70 to 79,1.03
Colorectal Cancer,Mean BMI (kg/m2),Andean Latin America,Female,80 to 100,1.03
Diabetes,Mean BMI (kg/m2),Andean Latin America,Male,30 to 39,1.2
Diabetes,Mean BMI (kg/m2),Andean Latin America,Male,40 to 49,1.2
Diabetes,Mean BMI (kg/m2),Andean Latin America,Male,50 to 59,1.2
Diabetes,Mean BMI (kg/m2),Andean Latin America,Male,60 to 69,1.16
Diabetes,Mean BMI (kg/m2),Andean Latin America,Male,70 to 79,1.11
Diabetes,Mean BMI (kg/m2),Andean Latin America,Male,80 to 100,1.11
Diabetes,Mean BMI (kg/m2),Andean Latin America,Female,30 to 39,1.2
Diabetes,Mean BMI (kg/m2),Andean Latin America,Female,40 to 49,1.2
Ischemic Heart Disease,Mean BMI (kg/m2),Australasia,Male,30 to 39,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Australasia,Male,40 to 49,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Australasia,Male,50 to 59,1.09
Ischemic Heart Disease,Mean BMI (kg/m2),Australasia,Male,60 to 69,1.08
Ischemic Heart Disease,Mean BMI (kg/m2),Australasia,Male,70 to 79,1.05
Ischemic Heart Disease,Mean BMI (kg/m2),Australasia,Male,80 to 100,1.05
Ischemic Heart Disease,Mean BMI (kg/m2),Australasia,Female,30 to 39,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Australasia,Female,40 to 49,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Australasia,Female,50 to 59,1.09
Ischemic Heart Disease,Mean BMI (kg/m2),Australasia,Female,60 to 69,1.08
Ischemic Heart Disease,Mean BMI (kg/m2),Australasia,Female,70 to 79,1.05
Ischemic Heart Disease,Mean BMI (kg/m2),Australasia,Female,80 to 100,1.05
Ischemic Stroke,Mean BMI (kg/m2),Australasia,Male,30 to 39,1.14
Ischemic Stroke,Mean BMI (kg/m2),Australasia,Male,40 to 49,1.14
Ischemic Stroke,Mean BMI (kg/m2),Australasia,Male,50 to 59,1.1
Ischemic Stroke,Mean BMI (kg/m2),Australasia,Male,60 to 69,1.08
Ischemic Stroke,Mean BMI (kg/m2),Australasia,Male,70 to 79,1.05
Ischemic Stroke,Mean BMI (kg/m2),Australasia,Male,80 to 100,1.05
Ischemic Stroke,Mean BMI (kg/m2),Australasia,Female,30 to 39,1.14
Ischemic Stroke,Mean BMI (kg/m2),Australasia,Female,40 to 49,1.14
Ischemic Stroke,Mean BMI (kg/m2),Australasia,Female,50 to 59,1.1
Ischemic Stroke,Mean BMI (kg/m2),Australasia,Female,60 to 69,1.08
Ischemic Stroke,Mean BMI (kg/m2),Australasia,Female,70 to 79,1.05
Ischemic Stroke,Mean BMI (kg/m2),Australasia,Female,80 to 100,1.05
Breast Cancer,Mean BMI (kg/m2),Australasia,Female,40 to 49,1.02
Breast Cancer,Mean BMI (kg/m2),Australasia,Female,50 to 59,1.02
Breast Cancer,Mean BMI (kg/m2),Australasia,Female,60 to 69,1.02
Breast Cancer,Mean BMI (kg/m2),Australasia,Female,70 to 79,1.02
Breast Cancer,Mean BMI (kg/m2),Australasia,Female,80 to 100,1.02
Cervical Cancer,Mean BMI (kg/m2),Australasia,Female,15 to 19,1.1
Cervical Cancer,Mean BMI (kg/m2),Australasia,Female,20 to 24,1.1
Cervical Cancer,Mean BMI (kg/m2),Australasia,Female,25 to 29,1.1
Cervical Cancer,Mean BMI (kg/m2),Australasia,Female,30 to 39,1.1
Cervical Cancer,Mean BMI (kg/m2),Australasia,Female,40 to 49,1.1
Cervical Cancer,Mean BMI (kg/m2),Australasia,Female,50 to 59,1.1
Cervical Cancer,Mean BMI (kg/m2),Australasia,Female,60 to 69,1.1
Cervical Cancer,Mean BMI (kg/m2),Australasia,Female,70 to 79,1.1
Cervical Cancer,Mean BMI (kg/m2),Australasia,Female,80 to 100,1.1
Colorectal Cancer,Mean BMI (kg/m2),Australasia,Male,30 to 39,1.03
Colorectal Cancer,Mean BMI (kg/m2),Australasia,Male,40 to 49,1.03
Colorectal Cancer,Mean BMI (kg/m2),Australasia,Male,50 to 59,1.03
Colorectal Cancer,Mean BMI (kg/m2),Australasia,Male,60 to 69,1.03
Colorectal Cancer,Mean BMI (kg/m2),Australasia,Male,70 to 79,1.03
Colorectal Cancer,Mean BMI (kg/m2),Australasia,Male,80 to 100,1.03
Colorectal Cancer,Mean BMI (kg/m2),Australasia,Female,30 to 39,1.03
Colorectal Cancer,Mean BMI (kg/m2),Australasia,Female,40 to 49,1.03
Colorectal Cancer,Mean BMI (kg/m2),Australasia,Female,50 to 59,1.03
Colorectal Cancer,Mean BMI (kg/m2),Australasia,Female,60 to 69,1.03
Colorectal Cancer,Mean BMI (kg/m2),Australasia,Female,70 to 79,1.03
Colorectal Cancer,Mean BMI (kg/m2),Australasia,Female,80 to 100,1.03
Diabetes,Mean BMI (kg/m2),Australasia,Male,30 to 39,1.2
Diabetes,Mean BMI (kg/m2),Australasia,Male,40 to 49,1.2
Diabetes,Mean BMI (kg/m2),Australasia,Male,50 to 59,1.2
Diabetes,Mean BMI (kg/m2),Australasia,Male,60 to 69,1.16
Diabetes,Mean BMI (kg/m2),Australasia,Male,70 to 79,1.11
Diabetes,Mean BMI (kg/m2),Australasia,Male,80 to 100,1.11
Diabetes,Mean BMI (kg/m2),Australasia,Female,30 to 39,1.2
Diabetes,Mean BMI (kg/m2),Australasia,Female,40 to 49,1.2
Ischemic Heart Disease,Mean BMI (kg/m2),Caribbean,Male,30 to 39,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Caribbean,Male,40 to 49,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Caribbean,Male,50 to 59,1.09
Ischemic Heart Disease,Mean BMI (kg/m2),Caribbean,Male,60 to 69,1.08
Ischemic Heart Disease,Mean BMI (kg/m2),Caribbean,Male,70 to 79,1.05
Ischemic Heart Disease,Mean BMI (kg/m2),Caribbean,Male,80 to 100,1.05
Ischemic Heart Disease,Mean BMI (kg/m2),Caribbean,Female,30 to 39,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Caribbean,Female,40 to 49,1.14
Ischemic Heart Disease,Mean BMI (kg/m2),Caribbean,Female,50 to 59,1.09
Ischemic Heart Disease,Mean BMI (kg/m2),Caribbean,Female,60 to 69,1.08
Ischemic Heart Disease,Mean BMI (kg/m2),Caribbean,Female,70 to 79,1.05
Ischemic Heart Disease,Mean BMI (kg/m2),Caribbean,Female,80 to 100,1.05
Ischemic Stroke,Mean BMI (kg/m2),Caribbean,Male,30 to 39,1.14
Ischemic Stroke,Mean BMI (kg/m2),Caribbean,Male,40 to 49,1.14
Ischemic Stroke,Mean BMI (kg/m2),Caribbean,Male,50 to 59,1.1
Ischemic Stroke,Mean BMI (kg/m2),Caribbean,Male,60 to 69,1.08
Ischemic Stroke,Mean BMI (kg/m2),Caribbean,Male,70 to 79,1.05
Ischemic Stroke,Mean BMI (kg/m2),Caribbean,Male,80 to 100,1.05
Ischemic Stroke,Mean BMI (kg/m2),Caribbean,Female,30 to 39,1.14
Ischemic Stroke,Mean BMI (kg/m2),Caribbean,Female,40 to 49,1.14
Ischemic Stroke,Mean BMI (kg/m2),Caribbean,Female,50 to 59,1.1
Ischemic Stroke,Mean BMI (kg/m2),Caribbean,Female,60 to 69,1.08
Ischemic Stroke,Mean BMI (kg/m2),Caribbean,Female,70 to 79,1.05
Ischemic Stroke,Mean BMI (kg/m2),Caribbean,Female,80 to 100,1.05
Breast Cancer,Mean BMI (kg/m2),Caribbean,Female,40 to 49,1.02
Breast Cancer,Mean BMI (kg/m2),Caribbean,Female,50 to 59,1.02
Breast Cancer,Mean BMI (kg/m2),Caribbean,Female,60 to 69,1.02
Breast Cancer,Mean BMI (kg/m2),Caribbean,Female,70 to 79,1.02
Breast Cancer,Mean BMI (kg/m2),Caribbean,Female,80 to 100,1.02
